COPY 2610
ma,table_name,column_name,ordinal_position,data_type,is_nullable,column_default
public,tblCeramics2007,StonewareBodyNarrowRibbon,36,integer,YES,
public,tblCeramics2007,StonewareBodyDentateSquareTwoRow,37,integer,YES,
public,tblCeramics2007,StonewareBodyDentateSquareMultirow,38,integer,YES,
public,tblCeramics2007,StonewareBodyDentateTriangleSingleRows,39,integer,YES,
public,tblCeramics2007,StonewareBodyDentateSquareMultirowAndCombWave,40,integer,YES,
public,tblCeramics2007,StonewareBodyDentateLongSquareTwoRowAndLinearComb,41,integer,YES,
public,tblCeramics2007,StonewareBodyGlazed,42,integer,YES,
public,tblCeramics2007,Total_Stoneware,43,integer,YES,
public,tblCeramics2007,Earthenware Rim Plain,44,integer,YES,
public,tblCeramics2007,Earthenware Rim Parallel line Inside,45,integer,YES,
public,tblCeramics2007,Earthenware Rim Parallel line Inside Punctate Freehand Wave,46,integer,YES,
public,tblCeramics2007,Earthenware Rim Parallel line Outside,47,integer,YES,
public,tblCeramics2007,Earthenware Rim Flanged Coarse and Thick,48,integer,YES,
public,tblCeramics2007,Earthenware Rim Everted Downturned Cordmarked,49,integer,YES,
public,tblCeramics2007,Earthenware Rim Everted Plain Burnished,50,integer,YES,
public,tblCeramics2007,Earthenware Body Net Impressed Fine,51,integer,YES,
public,tblCeramics2007,Earthenware Body Net Impressed Med,52,integer,YES,
public,tblCeramics2007,Earthenware Body Net Impressed Coarse,53,integer,YES,
public,tblCeramics2007,Earthenware Body Plain,54,integer,YES,
public,tblCeramics2007,Earthenware Body Cordmarked,55,integer,YES,
public,tblCeramics2007,Earthenware cordmarked with band smoothing,56,integer,YES,
public,tblCeramics2007,Earthenware Body Cordmarked Incised Freehand Linear,57,integer,YES,
public,tblCeramics2007,Earthenware Body Cordmarked Incised Comb Linear,58,integer,YES,
public,tblCeramics2007,Earthenware Body Cordmarked Incised Comb Wave,59,integer,YES,
public,tblCeramics2007,Earthenware Body Cordmarked Incised Comb Linear and Wave,60,integer,YES,
public,tblCeramics2007,Earthenware cord-impressed fine gray,61,integer,YES,
public,tblCeramics2007,Earthenware Body Incised Freehand Triangles Infilled,62,integer,YES,
public,tblCeramics2007,Earthenware Body Incised Freehand Linear Complex Linear Punctat,63,integer,YES,
public,tblCeramics2007,Earthenware Body Incised Freehand Curvilinear Zones,64,integer,YES,
public,tblCeramics2007,Earthenware incised comb spatula  curvilinear,65,integer,YES,
public,tblCeramics2007,Earthenware Body Incised Comb Loops and Wave,66,integer,YES,
public,tblCeramics2007,Earthenware Body Incised Comb Figure 8,67,integer,YES,
public,tblCeramics2007,Earthenware Body Incised Comb Linear with Linear Punctate,68,integer,YES,
public,tblCeramics2007,Earthenware Body Incised Comb Wave with Linear Punctate,69,integer,YES,
public,tblCeramics2007,Earthenware Body Incised Comb Linear Complex Linear Punctate,70,integer,YES,
public,tblCeramics2007,Earthenware Body Incised Comb Curvilinear with Infill Punctate,71,integer,YES,
public,tblCeramics2007,Earthenware Body Incised Comb Wave with Infill Punctate,72,integer,YES,
public,tblCeramics2007,Earthenware Body Incised Comb Loops with Infill Punctate,73,integer,YES,
public,tblCeramics2007,Earthenware Body Incised Comb Figure 8 with Infill Punctate,74,integer,YES,
public,tblCeramics2007,Earthenware Body Incised Comb Wave with plain Applique,75,integer,YES,
public,tblCeramics2007,Earthenware Body Dentate ZigZag,76,integer,YES,
public,tblCeramics2007,Earthenware Body Dentate ZigZag Incised Comb Linear,77,integer,YES,
public,tblCeramics2007,Earthenware Body Dentate ZigZag Incised Comb Wave,78,integer,YES,
public,tblCeramics2007,Earthenware Body Dentate ZigZag Incised Comb Linear and Wave,79,integer,YES,
public,tblCeramics2007,Earthenware Body Incised Freehand Motif Comb Infil,80,integer,YES,
public,tblCeramics2007,Earthenware Body Incised Freehand Motif Punct Infil,81,integer,YES,
public,tblCeramics2007,Earthenware Body Incised Comb Wave in Concentric Circles,82,integer,YES,
public,tblCeramics2007,Earthenware Body Incised Comb Linear,83,integer,YES,
public,tblCeramics2007,Earthenware Body Incised Comb Curvilinear,84,integer,YES,
public,tblCeramics2007,Earthenware Body Incised Comb Curvilinear Broad,85,integer,YES,
public,tblCeramics2007,Earthenware Body Incised Comb Wave,86,integer,YES,
public,tblCeramics2007,Earthenware Body Incised Comb Linear and Wave,87,integer,YES,
public,tblCeramics2007,Earthenware Body Incised Comb Linear and festoons,88,integer,YES,
public,tblCeramics2007,Earthenware Body Incised Comb curvilinear and comb pricks,89,integer,YES,
